Hebrew,Transliteration,Root,Meaning,Part of speech
בּוֹרֵא,bore,ב - ר - א,creator,"Noun –kotelpattern, masculine"
בִּרְבּוּר,birbur,ב - ר - ב - ר,"chatter, nonsense","Noun –kittulpattern, masculine"
בּוֹרֶג,boreg,ב - ר - ג,"screw, bolt","Noun –kotelpattern, masculine"
מַבְרֵג,mavreg,ב - ר - ג,screwdriver,"Noun –maktelpattern, masculine"
בָּרָד,barad,ב - ר - ד,"hail (precipitation); 🍧 snow cone, slushie (dessert)","Noun –katalpattern, masculine"
בֶּרֶז,berez,ב - ר - ז,"🚰 water tap, faucet","Noun –ketelpattern, masculine"
בְּרָכָה,bracha,ב - ר - כ,blessing; greeting,"Noun –ktalapattern, feminine"
בֶּרֶךְ,berech,ב - ר - כ,knee,"Noun –ketelpattern, feminine"
הַבְרָקָה,havraka,ב - ר - ק,"polishing; a sudden idea, insight","Noun –haktalapattern, feminine"
בָּרָק,barak,ב - ר - ק,"lightning, flash","Noun –katalpattern, masculine"
מִבְרָק,mivrak,ב - ר - ק,telegram,"Noun –miktalpattern, masculine"
בָּרֶקֶת,bareket,ב - ר - ק,emerald,"Noun –katteletpattern, feminine"
בְּרֵירָה,brera,ב - ר - ר,"choice, option","Noun –ktelapattern, feminine"
בֵּירוּר,berur,ב - ר - ר,"investigation, clarification, inquiry","Noun –kittulpattern, masculine"
בְּרֵירָה,brera,ב - ר - ר,"option, choice, alternative","Noun –ktelapattern, feminine"
מִבְרֶשֶׁת,mivreshet,ב - ר - ש,brush,"Noun –mikteletpattern, feminine"
בִּישּׁוּל,bishul,ב - ש - ל,"cooking, boiling","Noun –kittulpattern, masculine"
בּוֹשֶׂם,bosem,ב - שׂ - מ,perfume; scent,"Noun –kotelpattern, masculine"
בָּשָׂר,basar,ב - שׂ - ר,"meat, flesh","Noun –katalpattern, masculine"
גַּאֲווָה,ga'ava,ג - א - ו,pride; egotism,"Noun –katlapattern, feminine"
גָּאוֹן,ga'on,ג - א - ה,genius; Gaon (Judaism); (poetic) greatness,"Noun –katonpattern, masculine"
גְּאוּלָּה,ge'ula,ג - א - ל,redemption,"Noun –ktullapattern, feminine"
גַּב,gav,ג - ב - ב,"back; rear, dorsum; support, protection","Noun –ketelpattern, masculine"
גַּבָּה,gaba,ג - ב - ב,eyebrow,"Noun –katlapattern, feminine"
גּוֹבַהּ,gova(h),ג - ב - הּ,height; level,"Noun –kotelpattern, masculine"
גִּיבּוּי,gibuy,ג - ב - ה,"backup, support","Noun –kittulpattern, masculine"
הַגְבָּלָה,hagbala,ג - ב - ל,"limitation, restraint","Noun –haktalapattern, feminine"
גְּבוּל,gvul,ג - ב - ל,"border, limit","Noun –ktulpattern, masculine"
גְּבִינָה,gvina,ג - ב - נ,cheese,"Noun –ktilapattern, feminine"
גַּבָּן,gaban,ג - ב - נ,cheesemaker,"Noun –kattalpattern, masculine"
גֶּבֶס,geves,ג - ב - ס,"gypsum, plaster","Noun –ketelpattern, masculine"
גִּבְעָה,giv'a,ג - ב - ע,hill,"Noun –kitlapattern, feminine"
גֶּבַע,geva,ג - ב - ע,hill (rare),"Noun –ketelpattern, masculine"
גָּבִיעַ,gavia,ג - ב - ע,🏆 goblet; cup (sport); calyx (botany); 🍦 cone (ice cream),"Noun –katilpattern, masculine"
מִגְבַּעַת,migba'at,ג - ב - ע,top hat,"Noun –mikteletpattern, feminine"
הִתְגַּבְּרוּת,hitgabrut,ג - ב - ר,"overcoming (difficulties, etc.); strengthening","Noun –hitkattlutpattern, feminine"
גֶּבֶר,gever,ג - ב - ר,"man, male; cock, rooster (poetic)","Noun –ketelpattern, masculine"
גְּבַרְתָּן,gvartan,ג - ב - ר,"tough guy, strong man","Noun –ktaltanpattern, masculine"
גְּבוּרָה,gvura,ג - ב - ר,"courage, heroism","Noun –ktulapattern, feminine"
גְּבֶרֶת,gveret,ג - ב - ר,"Madame, madam, Mrs.","Noun –kteletpattern, feminine"
גִּיבּוּשׁ,gibush,ג - ב - ש,"consolidation, crystallisation; ""team spirit"" exercise","Noun –kittulpattern, masculine"
גְּדוּד,gdud,ג - ד - ד,"battalion, regiment, troop","Noun –ktulpattern, masculine"
גְּדִי,gdi,ג - ד - ה,"kid, young goat; Capricorn","Noun –ketelpattern, masculine"
גְּדוּלָּה,gdula,ג - ד - ל,"greatness, importance","Noun –ktullapattern, feminine"
גְּדִילָה,gdila,ג - ד - ל,growth,"Noun –ktilapattern, feminine"
גּוֹדֶל,godel,ג - ד - ל,"size, magnitude","Noun –kotelpattern, masculine"
מִגְדָּל,migdal,ג - ד - ל,tower,"Noun –miktalpattern, masculine"
הַגְדָּלָה,hagdala,ג - ד - ל,"increase, enlargement","Noun –haktalapattern, feminine"
מַגְדֶּלֶת,magdelet,ג - ד - ל,magnifying glass,"Noun –makteletpattern, feminine"
גִּידּוּל,gidul,ג - ד - ל,"growing, raising; growth, increase; tumor","Noun –kittulpattern, masculine"
גִּידּוּף,giduf,ג - ד - פ,"cursing, swearing","Noun –kittulpattern, masculine"
מִגְדָּר,migdar,ג - ד - ר,gender (sociology),"Noun –miktalpattern, masculine"
הַגְדָּרָה,hagdara,ג - ד - ר,definition,"Noun –haktalapattern, feminine"
גָּדֵר,gader,ג - ד - ר,fence,"Noun –katelpattern, feminine"
מַגְהֵץ,maghetz,ג - ה - צ,"iron, flat-iron","Noun –maktelpattern, masculine"
גִּיהוּץ,gihutz,ג - ה - צ,ironing,"Noun –kittulpattern, masculine"
תְּגוּבָה,tguva,ג - ו - ב,"response, reaction","Noun –tkulapattern, feminine"
מִגְווָן,migvan,ג - ו - נ,"variety, assortment; colour range","Noun –miktalpattern, masculine"
גָּווֶן,gaven,ג - ו - נ,"hue, shade, colour","Noun –ketelpattern, masculine"
גֵּז,gez,ג - ז - ז,fleece,"Noun –ketelpattern, masculine"
גֶּזֶל,gezel,ג - ז - ל,"theft, robbery, stealing","Noun –ketelpattern, masculine"
הַגְזָמָה,hagzama,ג - ז - מ,exaggeration,"Noun –haktalapattern, feminine"
גֶּזַע,geza,ג - ז - ע,"trunk (of a tree); race (anthropology); stem (morphology, linguistics)","Noun –ketelpattern, masculine"
גִּיזָּרוֹן,gizaron,ג - ז - ר,etymology,"Noun –kittalonpattern, masculine"
גִּזְרָה,gizra,ג - ז - ר,"sector, zone; figure, shape (body); cut, dress pattern; morphology pattern (Hebrew grammar)","Noun –kitlapattern, masculine"
גֶּזֶר,gezer,ג - ז - ר,"piece, part, segment; carrot","Noun –ketelpattern, masculine"
גְּזִירָה,gzira,ג - ז - ר,"cutting, shearing; differentiation (mathematics)","Noun –ktilapattern, feminine"
גַּחֶלֶת,gachelet,ג - ח - ל,"coal, ember; spark (figurative); anthrax (pathology)","Noun –katteletpattern, feminine"
גַּחְמָה,gachma,ג - ח - מ,caprice,"Noun –katlapattern, feminine"
גִּיחָה,gicha,ג - י - ח,"short trip; sortie, flight (military)","Noun –ktilapattern, feminine"
גִּיּוּס,giyus,ג - י - ס,"recruitment, enrolment; fundraising","Noun –kittulpattern, masculine"
גִּיּוֹרֶת,giyoret,ג - י - ר,"convert to Judaism, proselyte (female)","Noun –kittoletpattern, feminine"
גִּיּוּר,giyur,ג - י - ר,"giyur, conversion to Judaism","Noun –kittulpattern, masculine"
גִּילְגּוּל,gilgul,ג - ל - ג - ל,"rolling, rolling up; somersault; metamorphosis (zoology); lifetime, incarnation","Noun –kittulpattern, masculine"
גְּלִידָה,glida,ג - ל - ד,ice cream,"Noun –ktilapattern, feminine"
גִּילּוּחַ,giluach,ג - ל - ח,shaving,"Noun –kittulpattern, masculine"
גְּלוּיָה,gluya,ג - ל - ה,postcard,"Noun –ktulapattern, feminine"
תַּגְלִית,taglit,ג - ל - ה,discovery,"Noun –taktitpattern, feminine"
גָּלוּת,galut,ג - ל - ה,exile; diaspora,"Noun –katutpattern, feminine"
גַּלַּאי,galay,ג - ל - ה,detector,"Noun –kattalpattern, masculine"
גִּילּוּי,giluy,ג - ל - ה,"discovery, revelation","Noun –kittulpattern, masculine"
גִּילָּיוֹן,gilayon,ג - ל - ה,"sheet (of paper); issue (newspaper, magazine)","Noun –kittalonpattern, masculine"
מְגִילָּה,megila,ג - ל - ל,scroll,"Noun –mekilapattern, feminine"
גַּל,gal,ג - ל - ל,"wave; movement (art, fashion); pile, heap; shaft (mechanics)","Noun –kalpattern, masculine"
גְּלוּלָה,glula,ג - ל - ל,"pill, tablet","Noun –ktulapattern, feminine"
גָּלִיל,galil,ג - ל - ל,"cylinder; roll (paper, fabric, etc.)","Noun –katilpattern, masculine"
גְּלִילָה,glila,ג - ל - ל,"roll (of paper, etc.); rolling up","Noun –ktilapattern, feminine"
גּוֹלֶם,golem,ג - ל - מ,"pupa (entomology); dummy, ingot, bar, mould (manufacturing); golem, clay automaton (jewish folklore); fool, oaf (coll.)","Noun –kotelpattern, masculine"
גְּלִימָה,glima,ג - ל - מ,"cloak, robe, mantle, gown","Noun –ktilapattern, feminine"
תַּגְלִיף,taglif,ג - ל - פ,"engraving, carving","Noun –taktilpattern, masculine"
גְּלוּפָה,glufa,ג - ל - פ,printing block (typography),"Noun –ktulapattern, feminine"
גְּלִישָׁה,glisha,ג - ל - ש,"sliding, gliding; skiing; gliding (air); boiling over (milk, etc.); surfing, browsing (internet)","Noun –ktilapattern, feminine"
מַגְלֵשָׁה,maglesha,ג - ל - ש,"playground slide, chute","Noun –maktelapattern, feminine"
גּוֹמֶא,gome,ג - מ - א,"papyrus, reed","Noun –kotelpattern, masculine"
גָּמָל,gamal,ג - מ - ל,camel,"Noun –katalpattern, masculine"
גַּמָּל,gamal,ג - מ - ל,"caravaneer, camel driver","Noun –kattalpattern, masculine"
תַּגְמוּל,tagmul,ג - מ - ל,"compensation, remuneration","Noun –taktulpattern, masculine"
גִּמְלָה,gimla,ג - מ - ל,"pension, benefit","Noun –kitlapattern, feminine"
גְּמִילָה,gmila,ג - מ - ל,"detoxification, detox, rehabilitation, rehab; weaning, ablactation","Noun –ktilapattern, feminine"
גְּמִירָה,gmira,ג - מ - ר,"completion, finishing","Noun –ktilapattern, feminine"
גְּנֵיבָה,gneva,ג - נ - ב,theft,"Noun –ktelapattern, feminine"
גִּינּוּי,ginuy,ג - נ - ה,"denunciation, condemnation","Noun –kittulpattern, masculine"
גִּינָּה,gina,ג - נ - נ,"garden, small garden","Noun –kitlapattern, feminine"
גַּן,gan,ג - נ - נ,garden,"Noun –kalpattern, masculine"
גַּנָּן,ganan,ג - נ - נ,gardener; kindergarten teacher,"Noun –kattalpattern, masculine"
הֲגַנָּה,hagana,ג - נ - נ,"defense, protection","Noun –haktalapattern, feminine"
גִּיעְגּוּעַ,gi'agua,ג - ע - ג - ע,cackling (of geese),"Noun –kittulpattern, masculine"
גַּעְגּוּעַ,ga'agua,ג - ע - ג - ע,"yearning, longing for something (ל־)","Noun –kattulpattern, masculine"
גּוֹעַל,go'al,ג - ע - ל,"revulsion, disgust","Noun –kotelpattern, masculine"
גְּעָרָה,ge'ara,ג - ע - ר,"reprimand, scolding","Noun –ktalapattern, feminine"
גַּעַשׁ,ga'ash,ג - ע - ש,storm (lit.),"Noun –ketelpattern, masculine"
גֶּפֶן,gefen,ג - פ - נ,"vine, grapevine","Noun –ketelpattern, feminine"
גּוֹפֶר,gofer,ג - פ - ר,"gopher, gopher wood (biblical)","Noun –kotelpattern, masculine"
גֶּרֶב,gerev,ג - ר - ב,"sock, stocking","Noun –ketelpattern, masculine"
גֵּירוּד,gerud,ג - ר - ד,"itch, itching; scratching; peeling","Noun –kittulpattern, masculine"
גֵּירוּז,geruz,ג - ר - ז,"lubrication, greasing, oiling","Noun –kittulpattern, masculine"
גֵּירוּי,geruy,ג - ר - ה,stimulus; irritation,"Noun –kittulpattern, masculine"
הַגְרָלָה,hagrala,ג - ר - ל,"lottery, casting of lots","Noun –haktalapattern, feminine"
גּוֹרָל,goral,ג - ר - ל,"fate, destiny; casting lots, toss of a coin","Noun –kotalpattern, masculine"
גֵּירָעוֹן,gera'on,ג - ר - ע,"deficit, loss","Noun –kittalonpattern, masculine"
מַגְרֵפָה,magrefa,ג - ר - פ,rake,"Noun –maktelapattern, feminine"
מְגֵירָה,megera,ג - ר - ר,drawer,"Noun –mekilapattern, feminine"
גְּרָר,grar,ג - ר - ר,"tow truck; drag, drag resistance (physics)","Noun –ktalpattern, masculine"
גְּרִירָה,grira,ג - ר - ר,"towing (vehicle); dragging, hauling","Noun –ktilapattern, feminine"
גֵּירוּשִׁים,gerushim,ג - ר - ש,divorce,"Noun –kittulpattern, masculine"
גֶּרֶשׁ,geresh,ג - ר - ש,"apostrophe, geresh (orthography)","Noun –ketelpattern, masculine"
מִגְרָשׁ,migrash,ג - ר - ש,"field, pitch (sports)","Noun –miktalpattern, masculine"
גֶּשֶׁם,geshem,ג - ש - מ,rain,"Noun –ketelpattern, masculine"
הִתְגַּשְּׁמוּת,hitgashmut,ג - ש - מ,"realization, coming true","Noun –hitkattlutpattern, feminine"
הַגְשָׁמָה,hagshama,ג - ש - מ,"realization, fulfillment, implementation","Noun –haktalapattern, feminine"
גֶּשֶׁר,gesher,ג - ש - ר,bridge,"Noun –ketelpattern, masculine"
גִּישּׁוּשׁ,gishush,ג - ש - ש,"probing, scanning","Noun –kittulpattern, masculine"
גַּשָּׁשׁ,gashash,ג - ש - ש,"scout, explorer","Noun –kattalpattern, masculine"
גָּשׁוֹשׁ,gashosh,ג - ש - ש,probe,"Noun –katolpattern, masculine"
דְּאָגָה,de'aga,ד - א - ג,"concern, worry","Noun –ktalapattern, feminine"
דָּאוֹן,da'on,ד - א - ה,glider (aviation),"Noun –katonpattern, masculine"
דּוֹאַר,do'ar,ד - א - ר,"post, postal service, mail","Noun –kotelpattern, masculine"
דִּיבָּה,diba,ד - ב - ב,"slander, defamation, libel","Noun –kitlapattern, feminine"
דּוֹב,dov,ד - ב - ב,bear (animal🐻),"Noun –kotelpattern, masculine"
דִּיבּוּב,dibuv,ד - ב - ב,"dubbing (cinema, television)","Noun –kittulpattern, masculine"
מַדְבֵּקָה,madbeka,ד - ב - ק,sticker,"Noun –maktelapattern, feminine"
דֶּבֶק,devek,ד - ב - ק,glue,"Noun –ketelpattern, masculine"
דִּיבּוּק,dibuk,ד - ב - ק,"dybbuk, spirit (Jewish folklore)","Noun –kittulpattern, masculine"
הִידָּבְקוּת,hidavkut,ד - ב - ק,contagion; adherence,"Noun –hikkatlutpattern, feminine"
דִּיבֵּר,diber,ד - ב - ר,commandment,"Noun –kittelpattern, masculine"
מִדְבָּר,midbar,ד - ב - ר,desert,"Noun –miktalpattern, masculine"
דָּבָר,davar,ד - ב - ר,"thing, object; (in plural) words","Noun –katalpattern, masculine"
דְּבִיר,dvir,ד - ב - ר,"inner sanctum, Holy of the Holies","Noun –ktilpattern, masculine"
דֶּבֶר,dever,ד - ב - ר,plague,"Noun –ketelpattern, masculine"
דִּיבּוּר,dibur,ד - ב - ר,"speech, talk; speaking, talking","Noun –kittulpattern, masculine"
הִידָּבְרוּת,hidavrut,ד - ב - ר,"agreement, arrangement; interaction, conversation","Noun –hikkatlutpattern, feminine"
דּוֹבֵר,dover,ד - ב - ר,"speaking, speaker (in idioms — e. g. of a language); spokesman","Noun –kotelpattern, masculine"
מְדַבֵּר,medaber,ד - ב - ר,"speaking, speaker; first person (grammar)","Noun –mekattelpattern, masculine"
הַדְבָּרָה,hadbara,ד - ב - ר,pest control,"Noun –haktalapattern, feminine"
מַדְבִּיר,madbir,ד - ב - ר,"exterminator (of pests); pesticide, insecticide","Noun –maktilpattern, masculine"
דְּבַשׁ,dvash,ד - ב - ש,"honey; syrup, condensed juice (Biblical)","Noun –ktalpattern, masculine"
דֶּגֶל,degel,ד - ג - ל,"flag, banner","Noun –ketelpattern, masculine"
דֶּגֶם,degem,ד - ג - מ,"specimen, example, model","Noun –ketelpattern, masculine"
דּוּגְמָה,dugma,ד - ג - מ,example,"Noun –kutlapattern, feminine"
הַדְגָּמָה,hadgama,ד - ג - מ,demonstration,"Noun –haktalapattern, feminine"
דְּגִימָה,dgima,ד - ג - מ,"sample, specimen; sampling","Noun –ktilapattern, feminine"
דָּגָן,dagan,ד - ג - נ,🌾 cereal,"Noun –katalpattern, masculine"
דָּגֵשׁ,dagesh,ד - ג - ש,"emphasis, stress, accent; dagesh (diacritic dot within a Hebrew letter)","Noun –katelpattern, masculine"
דָּג,dag,ד - ו - ג,fish,"Noun –kalpattern, masculine"
דּוּדּ,dud,ד - ו - ד,"water tank, vat; boiler","Noun –ketelpattern, masculine"
מֵדִיחַ,mediach,ד - ו - ח,dishwasher,"Noun –maktilpattern, masculine"
הֲדָחָה,hadacha,ד - ו - ח,"rinsing, washing","Noun –haktalapattern, feminine"
דִּיוּוּחַ,divuach,ד - ו - ח,report,"Noun –kittulpattern, masculine"
דַּווָּר,davar,ד - ו - ר,postman,"Noun –kattalpattern, masculine"
דִּירָה,dira,ד - ו - ר,"flat, apartment","Noun –ktilapattern, feminine"
מְדוּרָה,medura,ד - ו - ר,"bonfire, campfire","Noun –mekulapattern, feminine"
דִּיוּוּשׁ,divush,ד - ו - ש,pedalling,"Noun –kittulpattern, masculine"
דַּווְשָׁה,davsha,ד - ו - ש,pedal,"Noun –katlapattern, feminine"
דַּחְייָן,dachyan,ד - ח - ה,procrastinator,"Noun –katlanpattern, masculine"
דִּיחוּי,dichuy,ד - ח - ה,"deferral, postponement","Noun –kittulpattern, masculine"
דְּחִייָּה,dchiya,ד - ח - ה,"postponement, deferral; rejection","Noun –ktilapattern, feminine"
מַדְחֵס,madches,ד - ח - ס,compressor,"Noun –maktelpattern, masculine"
דְּחִיסָה,dchisa,ד - ח - ס,compression,"Noun –ktilapattern, feminine"
דַּחַק,dachak,ד - ח - ק,"stress, pressure (psychology)","Noun –ketelpattern, masculine"
